Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
1/27/2020 10:05,,,40,17.3,52.3,7.4,Sample
1/27/2020 10:06,11.9,0,42.1,17.19,52.4,7.4,Sample
1/27/2020 10:07,0,32.2,41.1,17.02,52.5,7.2,Sample
1/27/2020 10:08,0,22.4,41.7,16.9,52.6,7.2,Sample
1/27/2020 10:09,10.4,18.8,41.5,16.9,51.5,6.8,Sample
1/27/2020 10:10,18.2,16.6,41.1,16.92,52.2,7.1,Sample
1/27/2020 10:11,21.2,14.5,44.8,17,52.7,7.3,Sample
1/27/2020 10:12,21.1,14,45.2,17,52.3,7.1,Sample
1/27/2020 10:13,20.4,14.1,44.3,17,53.2,7.4,Sample
1/27/2020 10:14,20.9,13.7,44.5,17,53.5,7.5,Sample
1/27/2020 10:15,19.4,14.1,58.8,17.02,52.8,7.3,Sample
1/27/2020 10:16,32.7,0,218.8,17.05,67.4,11,Sample
1/27/2020 10:17,38.2,0,162.4,17.19,80.1,13.7,Sample
1/27/2020 10:18,59.1,0,417.8,18.28,91.9,16.9,Sample
1/27/2020 10:19,84.3,0,455.9,20.07,96.7,19.5,Sample
1/27/2020 10:20,95.4,0,373.4,23.35,99.9,23.3,Sample
1/27/2020 10:21,92.2,0,315.6,24.06,99.9,24,Sample
1/27/2020 10:22,59.7,0,114.6,21.4,99.5,21.3,Sample
1/27/2020 10:23,12.6,0,71.4,20,73,15,Sample
1/27/2020 10:24,0,0,167.2,19.72,67.7,13.6,Sample
1/27/2020 10:25,23.4,0,389.3,20.98,96.3,20.4,Sample
1/27/2020 10:26,42.1,0,287.2,21.64,99.3,21.5,Sample
1/27/2020 10:27,19.4,0,262.6,21.76,97.2,21.3,Sample
1/27/2020 10:28,4.8,0,172.2,21.34,95.1,20.5,Sample
1/27/2020 10:29,0,0,149.3,20.83,72.1,15.6,Sample
1/27/2020 10:30,0,0,260.4,20.82,90.6,19.2,Sample
1/27/2020 10:31,0,0,105.5,20.73,74.4,16,Sample
1/27/2020 10:32,0,0,44.7,20.64,65.9,14,Sample
1/27/2020 10:33,0.1,0,40.3,20.01,51.3,9.6,Sample
1/27/2020 10:34,0,8.2,32.1,19.87,87.4,17.7,Sample
1/27/2020 10:35,41.9,0,56.5,20.06,88.7,18.1,Sample
1/27/2020 10:36,43.6,0,156,21.01,96.3,20.4,Sample
1/27/2020 10:37,42.4,0,67.9,20.62,78.4,16.7,Sample
1/27/2020 10:38,3.7,0,36.8,20.12,55.9,11,Sample
1/27/2020 10:39,0,9.7,35.8,19.41,48,8.1,Sample
1/27/2020 10:40,0,16.3,36.6,18.73,48,7.5,Sample
1/27/2020 10:41,14.8,17,36.7,18.21,48.3,7.1,Sample
1/27/2020 10:42,28.6,18.8,36.5,17.89,49,7,Sample
1/27/2020 10:43,36,18.6,35.3,17.76,51.1,7.5,Sample
1/27/2020 10:44,40.2,18.4,35.5,17.66,52,7.7,Sample
1/27/2020 10:45,41.8,14.1,34.2,17.64,51.6,7.5,Sample
1/27/2020 10:46,38.1,14.7,34.5,17.69,51.8,7.7,Sample
1/27/2020 10:47,46.9,2.8,34.9,17.74,51,7.5,Sample
1/27/2020 10:48,43.7,0,35.2,17.8,50.2,7.3,Sample
1/27/2020 10:49,20.2,17.7,34.2,17.87,50.4,7.4,Sample
1/27/2020 10:50,17.3,21,35.1,17.9,49.6,7.2,Sample
1/27/2020 10:51,16.3,21.5,35.1,17.9,49.8,7.2,Sample
1/27/2020 10:52,20.5,18,34,17.9,50.3,7.4,Sample
1/27/2020 10:53,19.8,18.6,33.8,17.85,49.8,7.2,Sample
1/27/2020 10:54,17.8,20.1,32.6,17.8,49.8,7.2,Sample
