UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2020/02/05T23:04:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,14,16,971.83,nan,38448,0,115,2.56,3.5,3.62,2.56,3.5,3.62,15,15,589.02,172.34,18.34,0.72,0.12,0.12,2.83,3.77,5.53,2.83,3.77,5.53,16,16,684.57,189.4,23.28,2.85,2.51,1.15,
2020/02/05T23:06:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,13,15,971.8,0.02,36568,0,235,3.44,4.25,4.38,3.44,4.25,4.38,18,18,763.99,222.18,14.68,0.87,0.18,0.18,3.25,4.12,4.35,3.25,4.12,4.35,17,17,726.35,207.88,19.62,1.01,0.12,0.12,
2020/02/05T23:08:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,13,18,971.73,0.02,36568,0,355,3.67,4.68,5.04,3.67,4.68,5.04,20,20,832.87,235.25,20.62,0.72,0.41,0.41,3.76,5.69,6.16,3.76,5.69,6.16,24,24,973.88,258.3,28.33,5.49,0.72,0.24,
2020/02/05T23:10:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,73,11,17,971.67,0.02,36568,0,475,3.1,3.7,3.7,3.1,3.7,3.7,15,15,777.17,229.07,16.27,0.97,0,0,2.38,3.68,4.57,2.38,3.68,4.57,15,15,697.11,197.2,26.28,2.25,1.14,0.49,
2020/02/05T23:12:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,74,11,16,971.73,0.02,36568,0,595,2.91,3.71,3.95,2.91,3.71,3.95,15,15,700.45,204.79,15.21,1.09,0.45,0.26,2.31,3.85,4.04,2.31,3.85,4.04,16,16,663.08,188.44,23.27,4.31,0.28,0,
2020/02/05T23:14:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,75,11,17,971.7,0.02,36568,0,715,2.66,3.43,3.46,2.66,3.43,3.46,14,14,678.76,190.34,17.1,0.57,0.03,0,2.5,3.01,3.41,2.5,3.01,3.41,13,13,659.49,185.73,17.54,1.2,0.69,0,
2020/02/05T23:16:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,76,11,17,971.8,0.02,36568,0,835,3.16,3.63,3.87,3.16,3.63,3.87,15,15,745.19,216.21,16.29,0.68,0.16,0,2.1,3.01,3.58,2.1,3.01,3.58,13,13,619.26,180.59,19.28,1.94,0.75,0.43,
2020/02/05T23:18:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,76,10,17,971.8,0.01,36568,0,955,2.97,3.68,4.15,2.97,3.68,4.15,15,15,680,200.85,16.92,1.03,0.57,0.57,2.5,3.94,3.95,2.5,3.94,3.95,16,16,634.88,177.8,21.81,2.06,0.03,0,
2020/02/05T23:20:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,11,18,971.91,0.01,36504,0,1075,3.07,3.96,4.24,3.07,3.96,4.24,16,16,752.47,214.56,20.28,1.51,0.18,0.18,2.78,4.06,5,2.78,4.06,5,17,17,703.68,202.13,25.41,2.26,1.44,0.44,
2020/02/05T23:22:32z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.9,0.01,36504,0,1195,3.73,4.39,4.5,3.73,4.39,4.5,18,18,808.5,230.91,22.08,0.32,0.02,0.02,3.21,4.27,4.34,3.21,4.27,4.34,18,18,802.5,220.17,21.4,1.71,0.14,0.14,
2020/02/05T23:24:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.96,nan,36656,0,115,3.9,4.86,5.04,3.9,4.86,5.04,20,20,865.5,249.88,19.96,1.14,0.26,0.26,4.08,6.38,7.46,4.08,6.38,7.46,27,27,945,263.58,33.79,7.33,1.21,1,
2020/02/05T23:26:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.96,0.01,36504,0,235,4.42,5.06,5.34,4.42,5.06,5.34,21,21,913.75,264.99,18.88,0.55,0.25,0.21,3.25,4.72,5.61,3.25,4.72,5.61,20,20,822.52,240.88,27.45,3.59,1.16,0.12,
2020/02/05T23:28:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,10,19,971.9,0.01,36504,0,355,4.22,5.06,5.57,4.22,5.06,5.57,21,21,924.48,270.72,21.42,1.23,0.96,0.22,3.04,4.16,5.21,3.04,4.16,5.21,17,17,779.19,217.56,27.29,3.57,1.4,0,
2020/02/05T23:30:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,11,18,971.81,0.01,36504,0,475,4.22,5.28,5.77,4.22,5.28,5.77,22,22,926.43,261.33,22.01,2.09,0.45,0.2,3.78,5.37,6.04,3.78,5.37,6.04,22,22,828.72,243.25,31.7,2.66,0.54,0,
2020/02/05T23:32:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.74,0.01,36504,0,595,4.5,5.35,5.75,4.5,5.35,5.75,22,22,923.16,266.69,25.09,0.84,0.44,0.44,4.16,5.56,5.86,4.16,5.56,5.86,23,23,913.11,261.24,29.09,2.6,0.4,0,
2020/02/05T23:34:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.25,0.01,36504,0,715,4.61,5.42,5.79,4.61,5.42,5.79,23,23,1014.9,290.13,20.34,0.82,0.61,0.24,3.91,5.26,5.81,3.91,5.26,5.81,22,22,828.66,244.9,32.82,2.18,0.94,0,
2020/02/05T23:36:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,10,17,971.63,0.01,36504,0,835,4.18,5.31,5.43,4.18,5.31,5.43,22,22,908.15,267.91,25.33,0.94,0.16,0,3.55,5.01,6.28,3.55,5.01,6.28,21,21,835.97,240.19,32.6,3.43,1.43,0.42,
2020/02/05T23:38:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,10,18,971.67,0.01,36504,0,955,4.19,5.14,5.23,4.19,5.14,5.23,21,21,925.96,272.46,22.93,0.3,0.22,0,3.48,4.74,5,3.48,4.74,5,20,20,830.96,235.71,24.23,2.2,0.41,0.03,
2020/02/05T23:40:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,10,19,971.7,0.01,36504,0,1075,3.52,4.25,4.46,3.52,4.25,4.46,18,18,887.39,247.29,16.38,0.93,0.26,0.09,3.74,5.51,6.28,3.74,5.51,6.28,23,23,890.12,258.79,30,4.21,0.82,0.44,
2020/02/05T23:42:28z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,9,17,971.74,0.01,36504,0,1195,4.19,5.44,5.51,4.19,5.44,5.51,23,23,947.51,268.88,21.68,0.93,0.13,0.13,3.13,4.2,5.03,3.13,4.2,5.03,18,18,771.7,218.38,21.94,2.75,1.13,0.41,
2020/02/05T23:44:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,16,971.75,nan,36656,0,115,4.53,5.67,5.67,4.53,5.67,5.67,24,24,930.65,272.8,23.71,1.25,0,0,3.9,5.83,6.21,3.9,5.83,6.21,24,24,837.12,246.62,28.46,5.67,0.62,0.62,
2020/02/05T23:46:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,76,10,16,971.73,0.01,36504,0,235,4.5,5.58,5.83,4.5,5.58,5.83,23,23,962.32,280.08,21.11,1.11,0.26,0.26,3.65,4.65,6.07,3.65,4.65,6.07,19,19,851.87,238.49,24.26,4.17,2.03,0.38,
2020/02/05T23:50:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,10,17,971.73,nan,36656,0,116,4.33,5.31,5.6,4.33,5.31,5.6,22,22,1031.94,298.19,24,0.42,0.29,0.29,3.09,4.3,4.67,3.09,4.3,4.67,18,18,815.15,238.78,21.91,1.48,0.74,0,
2020/02/05T23:52:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,9,17,971.82,0.01,36568,0,236,4.52,5.55,5.55,4.52,5.55,5.55,23,23,991.7,288.15,18.28,1.36,0,0,3.89,5.23,6,3.89,5.23,6,22,22,882.25,257.28,27.92,2.65,0.96,0.06,
2020/02/05T23:54:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,9,17,971.8,0.01,36568,0,356,4.16,5.04,5.04,4.16,5.04,5.04,21,21,880.43,251.74,16.78,1.07,0,0,3.57,4.82,6.1,3.57,4.82,6.1,20,20,838.24,234.12,28,2.56,1.71,1.21,
2020/02/05T23:56:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,9,16,971.89,0.01,36568,0,476,4.64,5.64,6.03,4.64,5.64,6.03,23,23,975.7,281.84,24.39,1.74,0.41,0.41,3.64,5.01,5.41,3.64,5.01,5.41,21,21,839.48,241.78,25.16,2.55,0.75,0,
2020/02/05T23:58:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,16,971.78,0.01,36568,0,596,4.49,5.24,5.6,4.49,5.24,5.6,22,22,930.22,268.76,24.15,1.15,0.62,0.22,3.46,5.01,5.01,3.46,5.01,5.01,21,21,784.63,225.35,31.38,1.18,0,0,
2020/02/06T00:00:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,77,10,17,971.83,0.01,36568,0,716,4.67,5.62,5.86,4.67,5.62,5.86,23,23,958.32,279.39,18.33,1.88,0.42,0,3.34,4.43,5.01,3.34,4.43,5.01,18,18,772.89,222.93,26.46,1.74,0.91,0.91,
2020/02/06T00:02:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,76,10,16,971.86,0.01,36568,0,836,4.54,5.62,6.03,4.54,5.62,6.03,23,23,958.99,281.26,21.59,1.22,0.46,0.46,3.99,5.4,6.1,3.99,5.4,6.1,22,22,914.6,266.81,27.44,2.29,1.26,0,
2020/02/06T00:04:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,76,10,16,971.85,0.01,36568,0,956,4.33,5.13,5.13,4.33,5.13,5.13,21,21,933.65,269.51,23.75,0.57,0,0,3.85,5,5.3,3.85,5,5.3,21,21,834.45,243.12,21.09,1.76,0.55,0.15,
2020/02/06T00:06:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,76,10,16,971.86,0.01,36568,0,1076,4.8,5.7,6.04,4.8,5.7,6.04,24,24,977.36,283.43,24.33,1.07,0.46,0.46,3.79,5.21,5.91,3.79,5.21,5.91,22,22,823.03,237.31,26.91,2.51,0.97,0.69,
2020/02/06T00:08:24z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,75,10,16,971.77,0.01,36568,0,1196,4.76,5.88,6.42,4.76,5.88,6.42,25,25,994.52,285.01,25.51,1.54,0.69,0.25,4.13,5.8,6.06,4.13,5.8,6.06,24,24,923.7,264.85,29.21,3.18,0.34,0,
2020/02/06T00:10:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,73,10,14,971.88,nan,36656,0,115,4.86,5.55,5.55,4.86,5.55,5.55,23,23,995.82,280.02,20.59,0.59,0,0,4.28,6,6.59,4.28,6,6.59,25,25,864.13,257.09,26.48,2.3,0.91,0.87,
2020/02/06T00:12:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,11,15,971.8,0.01,36568,0,235,4.74,5.92,6.29,4.74,5.92,6.29,25,25,1006.91,288.42,25.26,0.97,0.41,0.18,3.93,5.26,5.71,3.93,5.26,5.71,22,22,848.65,245.42,27.04,1.77,0.67,0.29,
2020/02/06T00:14:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,71,11,14,971.72,0.01,36568,0,355,5.16,6.29,6.41,5.16,6.29,6.41,26,26,1045.59,301.01,26.84,0.97,0.21,0.21,4.36,5.64,5.84,4.36,5.64,5.84,24,24,900.18,263.13,26.06,2.09,0,0,
2020/02/06T00:16:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,70,11,14,971.81,0.01,36568,0,475,4.28,5.37,5.38,4.28,5.37,5.38,22,22,887.65,255.57,20.1,1.41,0,0,3.89,5.85,6.65,3.89,5.85,6.65,24,24,860.49,249.06,34.46,4,1.38,0.37,
2020/02/06T00:18:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,70,11,14,971.8,0.01,36568,0,595,4.78,5.69,5.88,4.78,5.69,5.88,24,24,993.53,279.32,23,0.57,0.24,0.24,4.57,6.32,6.55,4.57,6.32,6.55,26,26,976.61,282.14,34.09,1.71,0.46,0,
2020/02/06T00:20:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,69,12,14,971.75,0.01,36568,0,715,5.57,6.49,6.67,5.57,6.49,6.67,27,27,1066.34,306.9,24.13,1.03,0.22,0.22,4.87,6.57,6.76,4.87,6.57,6.76,27,27,1026.77,296.24,38.43,0.89,0.37,0,
2020/02/06T00:22:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,13,16,971.83,0.02,36568,0,835,4.91,6,6.29,4.91,6,6.29,25,25,1012.24,286.43,22.01,1.14,0.21,0.21,4.24,6.31,7.19,4.24,6.31,7.19,26,26,1011.27,278.84,32.99,6.27,1.25,0.54,
2020/02/06T00:24:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,68,13,16,971.82,0.02,36568,0,955,6.34,7.4,7.74,6.34,7.4,7.74,31,31,1191.3,346.49,32.11,1.39,0.21,0.21,4.7,7.38,7.55,4.7,7.38,7.55,31,31,1060.23,301.62,39.85,5.94,0.15,0,
2020/02/06T00:26:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,67,13,15,971.89,0.02,36568,0,1075,5.96,7.64,7.72,5.96,7.64,7.72,32,32,1180.13,346.97,26.61,1.96,0,0,4.8,7.36,7.59,4.8,7.36,7.59,31,31,1078.23,305.02,37.76,5.48,0.24,0,
2020/02/06T00:28:20z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,14,15,971.8,0.02,36568,0,1195,6.57,7.85,8.02,6.57,7.85,8.02,33,33,1253.86,362.4,27.94,1.38,0.25,0,5.5,6.97,8.33,5.5,6.97,8.33,29,29,1152.04,326.56,34.09,3.31,1.71,1.23,
2020/02/06T00:30:16z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,66,14,15,971.81,nan,36656,0,115,6.24,7.86,8.08,6.24,7.86,8.08,33,33,1191.35,348.27,39.25,2.94,0.25,0.25,5.83,8.17,9.23,5.83,8.17,9.23,34,34,1217.68,348.09,39.4,4.68,1.32,1.32,
2020/02/06T00:32:16z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,14,15,971.22,0.01,36568,0,235,6.82,8.28,8.6,6.82,8.28,8.6,34,34,1276.81,376.88,36.03,0.9,0.44,0.44,6.01,7.92,8.79,6.01,7.92,8.79,33,33,1215.93,347.77,38.25,3.49,1.32,0.51,
2020/02/06T00:34:16z,84:f3:eb:d5:da:d0,4.11,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,65,14,15,971.82,0.01,36568,0,355,7.07,8.59,8.85,7.07,8.59,8.85,36,36,1310.43,382.54,40.31,0.91,0.47,0,5.75,7.24,7.66,5.75,7.24,7.66,30,30,1171.88,334.49,33.16,1.31,0.36,0.36,
