Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2/12/2020 14:57,40.4,4.4,2.9,18.4,34.3,2.4,Sample
2/12/2020 14:58,0,49.1,2.6,18.29,34.2,2.2,Sample
2/12/2020 14:59,8.8,38.5,2.7,18.2,35.1,2.5,Sample
2/12/2020 15:00,12.7,37.6,3.2,18.18,35.3,2.6,Sample
2/12/2020 15:01,11,36.8,2.6,18.12,34.2,2.1,Sample
2/12/2020 15:02,13.2,33.4,2.5,17.88,36.6,2.8,Sample
2/12/2020 15:03,14.9,31.9,5.1,17.62,37.3,2.8,Sample
2/12/2020 15:04,11,33.8,2.7,17.42,37.5,2.8,Sample
2/12/2020 15:05,8.1,36.2,2.7,17.4,36.7,2.4,Sample
2/12/2020 15:06,15.5,30.2,2.4,18.15,35.5,2.6,Sample
2/12/2020 15:07,20.4,27.3,2.8,18.9,34.2,2.8,Sample
2/12/2020 15:08,14.2,33.2,2.8,19.28,32.8,2.5,Sample
2/12/2020 15:09,10.6,36.1,2.5,19.52,32.1,2.4,Sample
2/12/2020 15:10,11.9,35.9,2.5,19.65,32.4,2.7,Sample
2/12/2020 15:11,14.3,35.3,2.6,19.7,32,2.5,Sample
2/12/2020 15:12,12,37.1,2.4,19.63,31.8,2.4,Sample
2/12/2020 15:13,8.7,41.7,2.3,19.5,30.5,1.7,Sample
2/12/2020 15:14,11.4,40.3,2.4,19.68,31.2,2.2,Sample
2/12/2020 15:15,16.3,36.8,2.3,20.2,31.8,2.9,Sample
2/12/2020 15:16,17.3,37.3,2.1,20.5,31.1,2.8,Sample
2/12/2020 15:17,15.3,39.4,2.3,20.48,30.4,2.5,Sample
2/12/2020 15:18,14.6,39.1,2.5,20.17,31.2,2.6,Sample
2/12/2020 15:19,18.4,35.5,2.6,19.83,31.9,2.6,Sample
2/12/2020 15:20,15.1,38.5,2.3,19.57,31.7,2.3,Sample
2/12/2020 15:21,10.6,42.2,2.3,19.15,30.6,1.4,Sample
2/12/2020 15:22,10.5,42.2,2.2,18.85,32,1.8,Sample
2/12/2020 15:23,13.3,40.3,2.4,18.68,31.8,1.5,Sample
2/12/2020 15:24,17.3,37.8,2.6,18.59,32.3,1.7,Sample
2/12/2020 15:25,14.9,41.7,3.2,18.46,32.6,1.7,Sample
2/12/2020 15:26,15.7,41.6,2.4,18.4,32.9,1.8,Sample
2/12/2020 15:27,15.9,40.7,2.3,18.49,33.8,2.2,Sample
2/12/2020 15:28,13.6,42.4,2.2,18.5,33.6,2.2,Sample
2/12/2020 15:29,10.8,44.9,2.3,18.41,33,1.8,Sample
2/12/2020 15:30,13.9,42.4,2.4,18.4,33.7,2.1,Sample
2/12/2020 15:31,13.1,43.4,2.2,18.36,33.5,2,Sample
2/12/2020 15:32,14.7,41.8,3.9,18.37,33.6,2.1,Sample
2/12/2020 15:33,17.3,38.5,2.4,18.49,33.6,2.2,Sample
2/12/2020 15:34,22.6,33,2.2,18.91,34.4,2.9,Sample
2/12/2020 15:35,16,37.9,2.1,19.94,34.1,3.6,Sample
2/12/2020 15:36,9.4,42.3,2.2,21.21,32.2,3.9,Sample
2/12/2020 15:37,8.3,42,2.2,22.24,30.6,4.1,Sample
2/12/2020 15:38,5.9,43.2,2.2,22.74,29.5,4,Sample
2/12/2020 15:39,5.4,42.7,2.4,23.12,29.2,4.2,Sample
2/12/2020 15:40,4.7,43.9,2.3,23.44,28.2,4,Sample
2/12/2020 15:41,3.9,45.6,2.1,23.49,27.5,3.6,Sample
2/12/2020 15:42,5,45.4,2.2,23.42,27.7,3.7,Sample
2/12/2020 15:43,9.9,41,2.1,23.59,28,4,Sample
2/12/2020 15:44,10.8,41.7,2.4,23.78,27.7,4,Sample
2/12/2020 15:57,8.3,46.5,1.9,19.1,30.6,1.4,Sample
2/12/2020 15:58,59.9,0,3.7,18.93,30.9,1.4,Sample
2/12/2020 15:59,60.2,0,2.3,18.7,31.1,1.2,Sample
2/12/2020 16:00,60.1,0,2.3,18.5,31.2,1.1,Sample
2/12/2020 16:01,28.7,28.9,2.3,18.39,31.4,1.1,Sample
2/12/2020 16:02,9.7,45.9,2.4,18.29,31.5,1.1,Sample
2/12/2020 16:03,7.1,47.3,2.4,18.29,31.9,1.2,Sample
2/12/2020 16:04,10.1,44.2,2.3,18.29,31.3,1,Sample
2/12/2020 16:05,9.4,45.3,2.2,18.2,31.6,1,Sample
2/12/2020 16:06,12.5,43,2,18.18,32.5,1.4,Sample
2/12/2020 16:07,11.4,43.7,2.1,18.13,32.3,1.3,Sample
2/12/2020 16:08,8.8,45.4,2.2,18.06,31.8,1,Sample
2/12/2020 16:09,9.4,45.1,2.2,18.06,32,1.1,Sample
2/12/2020 16:10,9.8,45.3,2.3,18.02,32.1,1.1,Sample
2/12/2020 16:11,8.1,47.2,2.2,17.8,31.9,0.8,Sample
2/12/2020 16:12,9.5,46.4,2.2,17.7,32.1,0.8,Sample
2/12/2020 16:13,15.3,40.6,2.2,17.77,32.3,1,Sample
2/12/2020 16:14,12.8,42.9,2.2,17.79,32.6,1.1,Sample
2/12/2020 16:15,9.1,46.8,2.4,17.75,32.4,1,Sample
2/12/2020 16:16,9,46.9,2.5,17.67,32.3,0.9,Sample
