Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
4/1/2020 0:00,21,11.1,4.1,15.67,59,7.7,Sample,,,
4/1/2020 0:01,21.6,10.3,4.2,15.69,59,7.7,Sample,,,
4/1/2020 0:02,24.5,7.8,4.9,15.66,58.7,7.6,Sample,,,
4/1/2020 0:03,25.2,8.4,4.5,15.68,58.1,7.5,Sample,,,
4/1/2020 0:04,23.7,10.4,4,15.61,58.1,7.4,Sample,,,
4/1/2020 0:05,23.2,11.2,4.1,15.59,57.8,7.3,Sample,,,
4/1/2020 0:06,23.6,11.4,4,15.48,58,7.3,Sample,,,
4/1/2020 0:07,23.9,11.6,4.1,15.4,58.3,7.3,Sample,,,
4/1/2020 0:08,24.3,11.8,3.9,15.38,58.9,7.4,Sample,,,
4/1/2020 0:09,24.9,11.4,4,15.3,59,7.3,Sample,,,
4/1/2020 0:10,27.2,8.8,4,15.3,59.1,7.4,Sample,,,
4/1/2020 0:11,26.9,8.8,3.9,15.29,58.9,7.3,Sample,,,
4/1/2020 0:12,23.7,11.6,3.8,15.3,59.4,7.4,Sample,,,
4/1/2020 0:13,24.2,10.8,3.8,15.3,60,7.6,Sample,,,
4/1/2020 0:14,23.2,11.5,3.9,15.3,58.9,7.3,Sample,,,
4/1/2020 0:15,22.6,11.8,4.1,15.3,58.9,7.3,Sample,,,
4/1/2020 0:16,22.3,12.1,3.9,15.3,59,7.3,Sample,,,
4/1/2020 0:17,21.6,12.9,4,15.34,58.5,7.2,Sample,,,
4/1/2020 0:18,21.7,12.9,4,15.4,58.9,7.4,Sample,,,
4/1/2020 0:19,24.5,11.1,3.8,15.35,59,7.4,Sample,,,
4/1/2020 0:20,25.7,10.3,3.8,15.3,59.5,7.4,Sample,,,
4/1/2020 0:21,24,11.5,4,15.3,58.9,7.3,Sample,,,
4/1/2020 0:22,22.8,12.5,3.7,15.22,59.1,7.3,Sample,,,
4/1/2020 0:23,23.3,12.1,3.9,15.2,59.4,7.3,Sample,,,
4/1/2020 0:24,36.9,0,4.1,15.2,59.5,7.4,Sample,,,
