Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
4/13/2020 12:00 AM to 4/14/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/04/13 00:00:00,-0.6,23.3,3.0,11.82,91.1,10.4,Sample,,,
2020/04/13 00:01:00,-0.7,23.6,3.8,11.83,91.0,10.4,Sample,,,
2020/04/13 00:02:00,-2.1,25.0,3.4,11.82,90.9,10.4,Sample,,,
2020/04/13 00:03:00,2.3,19.9,3.5,11.80,90.9,10.4,Sample,,,
2020/04/13 00:04:00,4.1,18.0,3.2,11.80,90.9,10.4,Sample,,,
2020/04/13 00:05:00,4.4,17.0,3.3,11.80,90.9,10.4,Sample,,,
2020/04/13 00:06:00,1.8,18.6,3.3,11.80,91.0,10.4,Sample,,,
2020/04/13 00:07:00,2.6,17.0,3.0,11.81,91.0,10.4,Sample,,,
2020/04/13 00:08:00,-2.3,22.1,3.5,11.84,91.0,10.4,Sample,,,
2020/04/13 00:09:00,-7.1,26.7,3.6,11.88,91.0,10.5,Sample,,,
2020/04/13 00:10:00,-6.0,26.4,3.6,11.88,90.9,10.4,Sample,,,
2020/04/13 00:11:00,-0.3,22.4,3.5,11.87,90.9,10.4,Sample,,,
2020/04/13 00:12:00,4.7,17.9,3.9,11.85,90.9,10.4,Sample,,,
2020/04/13 00:13:00,4.0,17.7,3.3,11.85,90.8,10.4,Sample,,,
2020/04/13 00:14:00,-0.7,21.4,3.4,11.90,90.9,10.5,Sample,,,
2020/04/13 00:15:00,-1.5,21.1,3.1,11.90,91.0,10.5,Sample,,,
2020/04/13 00:16:00,-2.4,21.9,3.5,11.90,90.9,10.5,Sample,,,
2020/04/13 00:17:00,-3.8,23.4,3.5,11.90,90.8,10.5,Sample,,,
2020/04/13 00:18:00,-4.4,24.4,3.5,11.88,90.8,10.4,Sample,,,
2020/04/13 00:19:00,-1.7,22.9,4.4,11.81,90.7,10.3,Sample,,,
2020/04/13 00:20:00,1.4,20.4,4.8,11.80,90.7,10.3,Sample,,,
2020/04/13 00:21:00,4.1,19.6,4.3,11.80,90.8,10.3,Sample,,,
2020/04/13 00:22:00,0.8,21.9,3.7,11.80,91.0,10.4,Sample,,,
2020/04/13 00:23:00,0.6,22.2,3.8,11.80,91.0,10.4,Sample,,,
2020/04/13 00:24:00,0.6,21.1,4.0,11.80,91.0,10.4,Sample,,,
2020/04/13 00:25:00,-0.4,20.9,3.6,11.80,91.0,10.4,Sample,,,
2020/04/13 00:26:00,-0.6,22.5,4.3,11.80,90.9,10.4,Sample,,,
2020/04/13 00:27:00,1.6,19.2,4.3,11.80,90.9,10.4,Sample,,,
2020/04/13 00:28:00,2.0,18.3,4.2,11.80,90.9,10.4,Sample,,,
2020/04/13 00:29:00,1.1,19.2,3.7,11.80,90.8,10.3,Sample,,,
2020/04/13 00:30:00,2.4,17.2,4.5,11.80,90.9,10.4,Sample,,,
2020/04/13 00:31:00,0.9,18.4,3.9,11.80,91.0,10.4,Sample,,,
2020/04/13 00:32:00,1.2,18.2,3.7,11.80,90.9,10.4,Sample,,,
2020/04/13 00:33:00,3.4,15.7,3.8,11.80,90.9,10.4,Sample,,,
2020/04/13 00:34:00,2.2,16.5,4.1,11.80,90.9,10.4,Sample,,,
2020/04/13 00:35:00,-0.2,18.5,3.8,11.80,90.9,10.4,Sample,,,
2020/04/13 00:36:00,-3.7,22.0,3.8,11.80,90.9,10.4,Sample,,,
2020/04/13 00:37:00,-1.8,20.1,4.0,11.82,90.9,10.4,Sample,,,
2020/04/13 00:38:00,0.7,17.9,3.7,11.80,90.8,10.4,Sample,,,
2020/04/13 00:39:00,-1.4,20.3,3.6,11.83,90.9,10.4,Sample,,,
2020/04/13 00:40:00,1.9,16.9,3.8,11.90,90.9,10.5,Sample,,,
2020/04/13 00:41:00,1.8,16.6,3.7,11.90,90.9,10.5,Sample,,,
2020/04/13 00:42:00,1.1,17.5,3.0,11.90,90.9,10.5,Sample,,,
2020/04/13 00:43:00,-1.7,20.4,3.0,11.90,90.8,10.5,Sample,,,
2020/04/13 00:44:00,-1.2,20.5,3.4,11.90,90.8,10.4,Sample,,,
2020/04/13 00:45:00,0.2,18.9,2.9,11.90,90.9,10.5,Sample,,,
2020/04/13 00:46:00,3.0,16.6,3.1,11.90,90.9,10.5,Sample,,,
2020/04/13 00:47:00,-1.1,20.5,3.0,11.90,90.8,10.4,Sample,,,
2020/04/13 00:48:00,0.1,19.8,3.5,11.90,90.8,10.4,Sample,,,
2020/04/13 00:49:00,5.4,14.5,3.3,11.89,90.7,10.4,Sample,,,
2020/04/13 00:50:00,-1.6,21.2,3.8,11.90,90.7,10.4,Sample,,,
2020/04/13 00:51:00,-5.0,24.8,2.9,11.85,90.5,10.3,Sample,,,
2020/04/13 00:52:00,-0.2,21.0,3.4,11.80,90.4,10.3,Sample,,,
2020/04/13 00:53:00,5.9,15.2,4.3,11.80,90.6,10.3,Sample,,,
2020/04/13 00:54:00,3.1,17.1,3.5,11.80,90.8,10.4,Sample,,,
2020/04/13 00:55:00,-4.7,25.7,2.9,11.83,90.8,10.4,Sample,,,
2020/04/13 00:56:00,-6.8,29.3,3.1,11.90,90.7,10.4,Sample,,,
2020/04/13 00:57:00,4.2,19.3,4.5,11.90,90.8,10.4,Sample,,,
2020/04/13 00:58:00,10.7,11.3,4.3,11.90,90.7,10.4,Sample,,,
2020/04/13 00:59:00,3.4,16.9,5.0,11.90,90.6,10.4,Sample,,,
2020/04/13 01:00:00,-0.1,20.4,4.1,11.84,90.6,10.3,Sample,,,
2020/04/13 01:01:00,-2.5,24.1,3.9,11.80,90.5,10.3,Sample,,,
2020/04/13 01:02:00,0.3,22.7,4.3,11.80,90.6,10.3,Sample,,,
2020/04/13 01:03:00,7.8,14.1,3.7,11.79,90.7,10.3,Sample,,,
2020/04/13 01:04:00,10.8,10.1,3.2,11.80,90.8,10.3,Sample,,,
2020/04/13 01:05:00,9.0,10.2,4.1,11.80,90.9,10.4,Sample,,,
