Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
3/21/2020 12:00 AM to 3/22/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/03/21 00:00:00,17.0,14.3,3.4,11.92,72.0,7.0,Sample,,,
2020/03/21 00:01:00,17.3,14.5,3.8,11.92,72.2,7.1,Sample,,,
2020/03/21 00:02:00,18.1,14.0,3.9,11.93,72.2,7.1,Sample,,,
2020/03/21 00:03:00,18.5,13.5,3.5,11.93,72.2,7.1,Sample,,,
2020/03/21 00:04:00,18.9,12.6,3.5,11.90,72.4,7.1,Sample,,,
2020/03/21 00:05:00,17.5,13.4,3.2,11.87,72.4,7.1,Sample,,,
2020/03/21 00:06:00,17.0,14.3,3.3,11.80,72.7,7.1,Sample,,,
2020/03/21 00:07:00,15.6,14.7,3.2,11.74,72.6,7.0,Sample,,,
2020/03/21 00:08:00,15.8,15.0,3.1,11.70,72.5,6.9,Sample,,,
2020/03/21 00:09:00,16.1,14.6,2.8,11.73,72.7,7.0,Sample,,,
2020/03/21 00:10:00,15.5,14.1,2.9,11.77,72.7,7.0,Sample,,,
2020/03/21 00:11:00,15.9,14.5,2.9,11.81,72.6,7.0,Sample,,,
2020/03/21 00:12:00,15.4,15.7,3.0,11.88,72.7,7.1,Sample,,,
2020/03/21 00:13:00,16.8,14.6,3.2,11.90,73.0,7.2,Sample,,,
2020/03/21 00:14:00,15.8,14.5,2.8,11.90,72.4,7.1,Sample,,,
2020/03/21 00:15:00,16.7,14.6,2.9,11.90,72.6,7.1,Sample,,,
2020/03/21 00:16:00,17.8,14.2,2.8,11.90,72.6,7.1,Sample,,,
2020/03/21 00:17:00,18.6,12.7,2.7,11.90,72.6,7.1,Sample,,,
2020/03/21 00:18:00,21.8,8.4,2.7,11.90,73.6,7.3,Sample,,,
2020/03/21 00:19:00,20.0,8.2,2.6,11.84,73.4,7.2,Sample,,,
2020/03/21 00:20:00,16.9,11.6,2.5,11.77,73.2,7.1,Sample,,,
2020/03/21 00:21:00,14.4,12.6,2.5,11.70,72.7,7.0,Sample,,,
2020/03/21 00:22:00,13.6,12.7,2.5,11.67,73.2,7.0,Sample,,,
2020/03/21 00:23:00,15.5,13.6,2.5,11.60,73.2,7.0,Sample,,,
2020/03/21 00:24:00,14.2,14.6,2.4,11.60,73.1,6.9,Sample,,,
2020/03/21 00:25:00,15.9,13.8,2.5,11.58,73.2,6.9,Sample,,,
2020/03/21 00:26:00,18.8,11.7,2.3,11.57,73.4,7.0,Sample,,,
2020/03/21 00:27:00,17.9,13.6,2.5,11.51,73.7,7.0,Sample,,,
2020/03/21 00:28:00,18.2,12.6,2.4,11.50,74.2,7.1,Sample,,,
2020/03/21 00:29:00,18.6,11.4,2.2,11.50,74.0,7.0,Sample,,,
2020/03/21 00:30:00,18.0,11.5,2.4,11.50,74.1,7.0,Sample,,,
2020/03/21 00:31:00,17.1,11.1,2.4,11.48,74.4,7.1,Sample,,,
2020/03/21 00:32:00,17.5,10.0,2.8,11.48,74.9,7.2,Sample,,,
2020/03/21 00:33:00,16.2,10.1,3.0,11.45,74.8,7.1,Sample,,,
2020/03/21 00:34:00,15.1,10.5,3.1,11.40,74.9,7.1,Sample,,,
2020/03/21 00:35:00,15.1,10.5,2.9,11.40,74.9,7.1,Sample,,,
2020/03/21 00:36:00,14.9,11.0,3.2,11.40,74.9,7.1,Sample,,,
2020/03/21 00:37:00,14.9,11.1,3.2,11.40,75.0,7.1,Sample,,,
2020/03/21 00:38:00,15.7,10.9,3.3,11.40,75.0,7.1,Sample,,,
2020/03/21 00:39:00,16.8,10.0,3.2,11.40,75.3,7.2,Sample,,,
2020/03/21 00:40:00,18.1,9.4,3.2,11.39,75.3,7.2,Sample,,,
2020/03/21 00:41:00,17.5,9.7,3.2,11.40,75.3,7.2,Sample,,,
2020/03/21 00:42:00,17.4,9.5,3.1,11.39,75.2,7.2,Sample,,,
2020/03/21 00:43:00,16.8,9.4,3.3,11.40,75.3,7.2,Sample,,,
