Harvey Mudd College · AQY BD-1161 (AQY BD-1161)
Data export
3/24/2020 5:02 PM to 3/30/2020 12:00 AM
(UTC-08:00) Pacific Time (US & Canada) (Summer time adjusted)
Averaging period: Raw data

Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet,Journal category,Created by,Details
2020/03/29 15:13:00,43.9,0.0,6.8,18.01,49.1,7.2,Sample,System,Local instrument,System startup
,,,,,,,,System,Local instrument,"Sensors Ox, PM2.5 raw, TEMP, RH online"
,,,,,,,,System,Local instrument,Sensor O3 raw offline
,,,,,,,,System,Local instrument,Sensor O3 raw online
2020/03/29 15:14:00,32.4,12.3,6.5,17.98,49.8,7.3,Sample,,,
2020/03/29 15:15:00,-3.9,47.0,6.5,17.89,49.4,7.1,Sample,,,
2020/03/29 15:16:00,3.3,43.7,6.5,17.86,50.5,7.4,Sample,,,
2020/03/29 15:17:00,4.3,43.8,6.1,17.98,50.8,7.6,Sample,,,
2020/03/29 15:18:00,1.9,43.7,6.2,18.11,50.3,7.6,Sample,,,
2020/03/29 15:19:00,1.2,43.2,6.7,18.17,49.9,7.6,Sample,,,
2020/03/29 15:20:00,1.1,41.7,6.4,18.33,49.1,7.4,Sample,,,
2020/03/29 15:21:00,1.6,41.1,6.3,18.40,49.3,7.6,Sample,,,
2020/03/29 15:22:00,2.0,41.1,6.4,18.48,48.9,7.5,Sample,,,
2020/03/29 15:23:00,1.7,40.3,7.0,18.59,47.9,7.3,Sample,,,
2020/03/29 15:24:00,1.1,40.9,6.7,18.73,47.6,7.4,Sample,,,
2020/03/29 15:25:00,-0.1,42.1,6.8,18.87,46.3,7.1,Sample,,,
2020/03/29 15:26:00,-2.5,44.3,6.6,19.00,45.6,7.0,Sample,,,
2020/03/29 15:27:00,-1.8,45.4,6.8,18.98,46.0,7.1,Sample,,,
2020/03/29 15:28:00,0.9,44.7,6.7,18.91,47.3,7.4,Sample,,,
2020/03/29 15:29:00,0.9,45.0,6.4,18.86,46.8,7.2,Sample,,,
2020/03/29 15:30:00,-0.2,46.5,7.0,18.64,47.0,7.1,Sample,,,
2020/03/29 15:31:00,0.5,46.7,6.9,18.50,47.1,7.0,Sample,,,
2020/03/29 15:32:00,4.7,44.7,6.2,18.34,47.9,7.1,Sample,,,
2020/03/29 15:33:00,3.9,45.8,6.2,18.18,48.1,7.0,Sample,,,
2020/03/29 15:34:00,9.3,39.7,6.5,18.17,48.4,7.1,Sample,,,
2020/03/29 15:35:00,11.3,37.2,7.0,18.22,48.6,7.2,Sample,,,
2020/03/29 15:36:00,14.3,33.1,6.7,18.17,47.7,6.9,Sample,,,
2020/03/29 15:37:00,1.1,44.6,7.0,17.99,47.7,6.7,Sample,,,
2020/03/29 15:38:00,-4.8,51.1,7.2,17.84,47.9,6.7,Sample,,,
2020/03/29 15:39:00,-0.2,48.1,7.0,17.81,48.6,6.8,Sample,,,
2020/03/29 15:40:00,3.9,46.2,6.5,17.99,49.4,7.2,Sample,,,
2020/03/29 15:41:00,1.8,48.1,6.4,18.21,48.5,7.2,Sample,,,
2020/03/29 15:42:00,4.1,45.1,6.3,18.47,48.7,7.5,Sample,,,
2020/03/29 15:43:00,10.3,39.0,6.2,18.69,48.6,7.6,Sample,,,
2020/03/29 15:44:00,3.8,42.9,5.8,18.88,47.9,7.6,Sample,,,
2020/03/29 15:45:00,-1.6,46.1,6.0,18.90,46.8,7.3,Sample,,,
2020/03/29 15:46:00,1.4,42.9,6.2,18.87,46.1,7.0,Sample,,,
2020/03/29 15:47:00,1.0,43.5,6.0,18.80,46.2,7.0,Sample,,,
2020/03/29 15:48:00,-3.1,48.1,6.0,18.62,46.3,6.8,Sample,,,
2020/03/29 15:49:00,-1.1,47.4,6.3,18.40,46.6,6.8,Sample,,,
2020/03/29 15:50:00,1.6,46.0,6.1,18.28,47.7,7.0,Sample,,,
2020/03/29 15:51:00,2.2,46.0,6.0,18.21,48.2,7.1,Sample,,,
2020/03/29 15:52:00,-0.2,48.0,5.9,18.20,47.8,6.9,Sample,,,
2020/03/29 15:53:00,-1.3,48.9,6.7,18.10,47.5,6.7,Sample,,,
2020/03/29 15:54:00,-0.8,49.1,5.9,18.02,47.7,6.7,Sample,,,
2020/03/29 15:55:00,2.5,47.3,6.4,17.99,47.2,6.6,Sample,,,
2020/03/29 15:56:00,1.8,48.4,6.4,17.90,46.0,6.1,Sample,,,
2020/03/29 15:57:00,-1.5,51.3,6.3,17.83,45.4,5.8,Sample,,,
2020/03/29 15:58:00,0.0,49.5,6.2,17.83,46.2,6.1,Sample,,,
2020/03/29 15:59:00,-1.3,51.6,5.9,17.80,45.2,5.8,Sample,,,
2020/03/29 16:00:00,-1.5,53.2,6.3,17.82,44.8,5.7,Sample,,,
2020/03/29 16:01:00,2.8,50.3,6.4,17.89,45.1,5.8,Sample,,,
2020/03/29 16:02:00,7.0,47.6,6.4,17.96,45.6,6.0,Sample,,,
2020/03/29 16:03:00,9.4,45.7,6.5,18.13,45.8,6.2,Sample,,,
2020/03/29 16:04:00,7.6,46.6,6.2,18.21,45.7,6.3,Sample,,,
2020/03/29 16:05:00,6.1,47.2,6.0,18.21,45.4,6.2,Sample,,,
2020/03/29 16:06:00,3.3,47.3,5.6,18.29,45.4,6.3,Sample,,,
2020/03/29 16:07:00,3.0,46.4,5.7,18.39,45.3,6.3,Sample,,,
2020/03/29 16:08:00,-2.5,51.9,6.1,18.23,43.5,5.6,Sample,,,
2020/03/29 16:09:00,0.0,48.5,5.5,18.11,44.7,5.9,Sample,,,
2020/03/29 16:10:00,1.4,47.8,5.5,18.14,45.1,6.0,Sample,,,
2020/03/29 16:11:00,2.4,46.7,5.2,18.31,46.0,6.5,Sample,,,
2020/03/29 16:12:00,1.5,46.2,5.2,18.49,45.0,6.3,Sample,,,
2020/03/29 16:13:00,0.5,48.1,5.0,18.58,44.8,6.3,Sample,,,
2020/03/29 16:14:00,0.2,48.6,5.0,18.63,43.8,6.1,Sample,,,
2020/03/29 16:15:00,-3.6,51.3,5.1,18.50,42.5,5.5,Sample,,,
2020/03/29 16:16:00,-0.9,49.2,5.2,18.48,43.0,5.7,Sample,,,
2020/03/29 16:17:00,1.9,47.5,5.1,18.48,43.2,5.7,Sample,,,
2020/03/29 16:18:00,5.0,46.1,5.0,18.48,43.6,5.9,Sample,,,
2020/03/29 16:19:00,2.3,49.3,5.1,18.42,42.5,5.4,Sample,,,
2020/03/29 16:20:00,2.4,49.1,4.7,18.31,42.4,5.3,Sample,,,
2020/03/29 16:21:00,4.1,49.0,4.8,18.23,42.4,5.2,Sample,,,
2020/03/29 16:22:00,2.8,50.6,4.6,18.11,42.4,5.1,Sample,,,
2020/03/29 16:23:00,3.2,49.5,4.5,18.02,42.3,5.0,Sample,,,
2020/03/29 16:24:00,4.4,49.9,4.4,17.90,41.8,4.7,Sample,,,
2020/03/29 16:25:00,10.8,44.2,4.6,17.92,42.8,5.1,Sample,,,
2020/03/29 16:26:00,17.3,38.5,4.6,18.06,43.2,5.4,Sample,,,
2020/03/29 16:27:00,12.7,43.5,4.6,18.18,42.0,5.1,Sample,,,
2020/03/29 16:28:00,5.4,49.4,4.3,18.19,41.8,5.0,Sample,,,
2020/03/29 16:29:00,4.9,49.5,4.4,18.11,41.0,4.6,Sample,,,
2020/03/29 16:30:00,5.7,48.8,4.4,18.09,41.5,4.8,Sample,,,
2020/03/29 16:31:00,5.9,49.0,4.0,18.09,41.1,4.6,Sample,,,
2020/03/29 16:32:00,4.8,49.7,4.0,18.13,41.6,4.9,Sample,,,
2020/03/29 16:33:00,6.0,48.9,4.0,18.23,42.3,5.2,Sample,,,
2020/03/29 16:34:00,6.9,47.8,4.2,18.27,41.4,4.9,Sample,,,
2020/03/29 16:35:00,5.6,47.8,4.2,18.27,40.5,4.6,Sample,,,
2020/03/29 16:36:00,4.9,48.3,4.1,18.26,40.9,4.7,Sample,,,
2020/03/29 16:37:00,5.9,46.8,4.0,18.30,41.2,4.9,Sample,,,
2020/03/29 16:38:00,1.1,50.3,4.5,18.30,40.1,4.5,Sample,,,
2020/03/29 16:39:00,1.6,49.9,4.4,18.28,40.5,4.6,Sample,,,
2020/03/29 16:40:00,5.3,47.0,4.3,18.35,40.7,4.7,Sample,,,
2020/03/29 16:41:00,7.0,46.4,3.8,18.42,40.6,4.8,Sample,,,
2020/03/29 16:42:00,7.6,46.2,4.0,18.50,40.9,5.0,Sample,,,
