#YY/MM/DD,HR:MN:SC,aveconc,concent,rawconc,cnt_sec,condtmp,satttmp,satbtmp,optctmp,inlttmp,smpflow,satflow,pressur,condpwr,sattpwr,satbpwr,optcpwr,satfpwr,fillcnt,err_num
19/11/22,15:17:28,10882.2,10766,10432,63531,19.9,45,45,30,20.7,365,367,970,237,29,25,27,51,0,0
19/11/22,15:17:29,10841.9,10714,10383,63214,19.9,45,45,29.9,20.7,365,367,970,237,29,25,54,51,0,0
19/11/22,15:17:30,10822.1,10900,10557,64203,19.9,44.9,45,30,20.7,364,367,970,237,59,25,27,51,0,0
19/11/22,15:17:31,10827.4,10903,10561,64222,19.9,44.9,45,29.9,20.7,364,367,970,237,59,25,54,51,0,0
19/11/22,15:17:32,10840.1,10959,10613,64541,19.9,44.9,45,29.9,20.7,364,367,970,237,59,25,54,51,0,0
19/11/22,15:17:33,10868.3,10965,10619,64555,19.9,45,45,29.9,20.7,364,367,970,237,29,25,54,51,0,0
19/11/22,15:17:34,10905,10882,10540,64099,19.9,45,45,29.9,20.7,365,367,970,237,29,25,54,51,0,0
19/11/22,15:17:35,10922.3,10905,10563,64203,19.9,45,45,29.9,20.7,364,367,970,237,29,25,54,51,0,0
19/11/22,15:17:36,10934.3,11018,10669,64889,19.9,44.9,45,29.9,20.7,364,366,970,237,59,25,54,51,0,0
19/11/22,15:17:37,10946.4,10965,10619,64554,19.9,44.9,45,29.9,20.7,364,366,970,237,59,25,54,51,0,0
19/11/22,15:17:38,10938.8,10883,10541,64070,19.9,44.9,45,29.9,20.7,364,366,970,237,59,25,54,51,0,0
19/11/22,15:17:39,10923.3,10809,10471,63679,19.9,45,45,29.9,20.6,364,367,970,237,29,25,54,51,0,0
19/11/22,15:17:40,10912.4,10869,10527,63988,19.9,45,45,29.9,20.6,364,367,970,237,29,25,54,51,0,0
19/11/22,15:17:41,10883.1,10761,10427,63376,19.9,45,45,29.9,20.6,364,367,970,237,29,25,54,51,0,0
19/11/22,15:17:42,10847.9,10870,10529,64070,19.8,45,45,30,20.6,365,366,970,236,0,0,0,51,0,0
19/11/22,15:17:43,10837.3,10872,10531,64040,19.8,44.9,45,30,20.6,364,367,970,236,29,0,0,51,0,0
19/11/22,15:17:44,10840.2,10849,10510,63880,19.9,44.9,45,29.9,20.6,364,367,970,236,59,25,54,51,0,0
